epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,24131.8,3.16359,4.90868,5.12311,1.46462,0.55719,0.43458,0.44475,0.17121,0.53759,0.39081,0.39534,0.13993,3.5883,5.74926,5.92496,1.76216,0.00085513,0.00085513,0.00085513
112,24352,3.15813,4.92009,5.10158,1.45856,0.56128,0.43278,0.44334,0.17003,0.53646,0.38823,0.3898,0.13559,3.61742,5.8103,5.89862,1.76469,0.00083979,0.00083979,0.00083979
113,24573.4,3.16956,4.91804,5.08481,1.45549,0.56015,0.42366,0.44023,0.1687,0.53687,0.3818,0.39041,0.13651,3.59618,5.78447,5.95389,1.75526,0.000824492,0.000824492,0.000824492
114,24797,3.15519,4.89678,5.09437,1.45591,0.55616,0.42412,0.43641,0.16696,0.53457,0.37827,0.38424,0.13251,3.6209,5.85278,5.94776,1.77595,0.000809241,0.000809241,0.000809241
115,25016.8,3.15718,4.89495,5.09556,1.45859,0.55602,0.42784,0.43952,0.1684,0.53563,0.38333,0.38875,0.13606,3.59225,5.75226,5.95403,1.76633,0.000794038,0.000794038,0.000794038
116,25237.3,3.16108,4.90509,5.09276,1.454,0.55052,0.42537,0.43675,0.16593,0.53093,0.38385,0.38804,0.13365,3.62782,5.81469,5.97609,1.76081,0.000778889,0.000778889,0.000778889
117,25441.6,3.14939,4.90823,5.10033,1.45977,0.55385,0.41861,0.43579,0.16773,0.53274,0.37654,0.38575,0.13491,3.6136,5.80172,5.93271,1.76211,0.000763797,0.000763797,0.000763797
118,25640.9,3.1505,4.90476,5.02951,1.44879,0.5584,0.43627,0.4465,0.16946,0.54102,0.3948,0.39798,0.13803,3.63354,5.83561,5.8972,1.75587,0.000748766,0.000748766,0.000748766
119,25856.5,3.13725,4.88513,5.03803,1.44343,0.55358,0.41627,0.4305,0.16217,0.5308,0.3707,0.37607,0.12848,3.64917,5.84033,6.00472,1.77665,0.000733799,0.000733799,0.000733799
120,26078.8,3.13828,4.88417,5.08434,1.45642,0.55928,0.4371,0.44527,0.16977,0.54032,0.3946,0.39649,0.13717,3.63681,5.82495,5.87724,1.7709,0.0007189,0.0007189,0.0007189
121,26266.4,3.13023,4.87187,5.02021,1.44739,0.55111,0.43004,0.4394,0.16582,0.53306,0.38722,0.3878,0.13376,3.66116,5.85519,5.91988,1.77048,0.000704073,0.000704073,0.000704073
122,26456.8,3.13016,4.86908,5.02475,1.44798,0.55258,0.42699,0.43828,0.16561,0.53394,0.38396,0.38715,0.13337,3.64006,5.82949,5.96005,1.76674,0.000689322,0.000689322,0.000689322
